,,,,,,
,RESOLUCION Nº,,,,70/2023 PUBLICADA EN EL BOLETIN OFICIAL EL 20/12/2023,
,,,,,,
,VIGENCIA,9/1/2019,,,9/1/2025,
,,,,,,
,CANAL,NUBIAL,,,NUBIAL,"AUMENTO: 1,9%"
,,Solo Capital Federal y Gba,,,Solo Capital Federal y Gba,
,,,,,,
,MODO INGRESO,LISTA 3GW3   2019,OSPADEP,,LISTA 0SW1 - 2025,OSPADEP
,,DIST.SUP. LISTA 3GW3 2019,,,DIST.SUP. LISTA 0SW1 - 2025,
,,LISTA 3GW7   2019,OSDAAP,,,
,,DIST. SUP. LISTA 3GW7 2019,,,,
,,,,,NO SE COBRA EL 10% DE ANSSAL. PARA COTIZAR SE HACE PRECIO MENOS APORTES,
,,,,,,
,PLAN,MS,,,MS,
,Por Cápita menor a 66 años,"$ 3,997",,,"$ 163,772",
,MAYOR DE 65 AÑOS,"$ 7,994",,,"$ 465,259",