,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RESOLUCION NÂº,572/2016 PUBLICADA EN EL BOLETIN OFICIAL EL 11/05/2016,,1287/2016 PUBLICADA EN EL BOLETIN OFICIAL EL 31/08/2016,,2371-E2016 PUBLICADA EN EL BOLETIN OFICIAL EL 28/12/2016,,613-E/2017 PUBLICADA EN EL BOLETIN OFICIAL EL 23/05/2017,,613-E/2017 PUBLICADA EN EL BOLETIN OFICIAL EL 23/05/2017,,1050-E/2017 PUBLICADA EN EL BOLETIN OFICIAL EL 31/07/2017,,1975-E/2017 PUBLICADA EN EL BOLETIN OFICIAL EL 31/10/2017,,2479-E/2017 PUBLICADA EN EL BOLETIN OFICIAL EL 28/12/2017,,798/2018 PUBLICADA EN EL BOLETIN OFICIAL EL 25/04/2018,,1239/2018 PUBLICADA EN EL BOLETIN OFICIAL EL 28/06/2018,,1239/2018 PUBLICADA EN EL BOLETIN OFICIAL EL 28/06/2018,,262/2018 PUBLICADA EN EL BOLETIN OFICIAL EL 31/10/2018,,933/2018 PUBLICADA EN EL BOLETIN OFICIAL EL 28/12/2018,,592/2019 PUBLICADA EN EL BOLETIN OFICIAL EL 27/03/2019,,872/2019 PUBLICADA EN EL BOLETIN OFICIAL EL 24/05/2019,,872/2019 PUBLICADA EN EL BOLETIN OFICIAL EL 24/05/2019,,872/2019 PUBLICADA EN EL BOLETIN OFICIAL EL 24/05/2019,,1701/2019 PUBLICADA EN EL BOLETIN OFICIAL EL 29/08/2019,,1701/2019 PUBLICADA EN EL BOLETIN OFICIAL EL 29/08/2019,,70/2023 PUBLICADA EN EL BOLETIN OFICIAL EL 20/12/2023,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VIGENCIA,7/1/2016,,10/1/2016,,2/1/2017,,7/1/2017,,8/1/2017,,9/1/2017,,12/1/2017,,2/1/2018,,6/1/2018,,8/1/2018,,8/1/2018,,12/1/2018,,2/1/2019,,5/1/2019,,7/1/2019,,8/1/2019,,9/1/2019,,10/1/2019,,11/1/2019,,7/1/2025,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUMENTO: %
,CANAL,ACTIVA SALUD,,ACTIVA SALUD,,ACTIVA SALUD,,ACTIVA SALUD,,ACTIVA SALUD,,ACTIVA SALUD,,ACTIVA SALUD,,ACTIVA SALUD,,ACTIVA SALUD,,ACTIVA SALUD,,ACTIVA SALUD,,ACTIVA SALUD,,ACTIVA SALUD,,ACTIVA SALUD,,ACTIVA SALUD,,ACTIVA SALUD,,ACTIVA SALUD,,ACTIVA SALUD,,ACTIVA SALUD,,ACTIVA SALUD,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MODO INGRESO,OPCION ACTIVA SUPERADOR,,OPCION ACTIVA SUPERADOR,,OPCION ACTIVA SUPERADOR,,OPCION ACTIVA SUPERADOR,,OPCION ACTIVA SUPERADOR,,OPCION ACTIVA SUPERADOR,,OPCION ACTIVA SUPERADOR,,OPCION ACTIVA SUPERADOR,,OPCION ACTIVA SUPERADOR,,OPCION ACTIVA SUPERADOR,,OPCION ACTIVA SUPERADOR,,OPCION ACTIVA SUPERADOR,,OPCION ACTIVA SUPERADOR,,OPCION ACTIVA SUPERADOR,,OPCION ACTIVA SUPERADOR,,OPCION ACTIVA SUPERADOR,,OPCION ACTIVA SUPERADOR,,OPCION ACTIVA SUPERADOR,,OPCION ACTIVA SUPERADOR,,OPCION ACTIVA SUP. 2025,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PLAN,AS300,,AS300,,AS300,,AS300,,AS300,,AS300,,AS300,,AS300,,AS300,,AS300,,AS300,,AS300,,AS300,,AS300,,AS300,,AS300,,AS300,,AS300,,AS300,, AS 25 ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, AS 150 ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, AS 200 ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, AS 300 ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, AS 700 ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, AS 800 ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, AS 900 ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, VALOR ,,
, AS 25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $ 65,000 ",,
, AS 150 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $ 145,000 ",,
, AS 200 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $ 75,000 ",,
, AS 300 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $ 75,000 ",,
, AS 700 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $ 85,000 ",,
, AS 800 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $ 111,418 ",,
, AS 900 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $ 105,000 ",,
